origen,titulo,categorias,palabra_clave,votos,texto
1000 chistes,Bocadillo de jamón,cortos|malos,madres|jamón,NA,"– Mamá, mamá, ¿me haces un bocata de jamón? – ¿York? – Sí, túrk."
1000 chistes,Te echan de varias universidades,malos|cortos,universitarios|universidades,NA,- Qué pasa si te expulsan de cuatro univerdades? - .... - Que estás perdiendo facultades
1000 chistes,Un pelo en la cama,cortos|malos,cuentos|pelos,NA,- Qué es un pelo en una cama? - ... - El bello durmiente
1000 chistes,Entre techos,cortos|malos,casas,NA,- Qué le dice el techo del comedor al techo de la cocina? - .... - Te hecho de menos!
1000 chistes,Se va la luz,cortos|malos,pijos|escuelas,NA,- Qué pasa si se va la luz en una escuela privada? - .... - No se ve ni un pijo!
1000 chistes,País sin tacos,cortos|malos,país,NA,- En qué se convierte un país en el que se prohíben los tacos? - ....  - En un país destacado!
1000 chistes,Messi de aquí a 45 días,cortos|malos,deportistas|futbol|Messi,NA,- Qué es Messi en 45 días? - ........ - Mes y medio!
1000 chistes,Mundo con forma cubica,cortos|malos,cubanos|planetas,NA,- Qué pasaría si el mundo en lugar de ser una esfera fuera un cubo? - .... - Pues que todos seríamos cubanos
1000 chistes,Saludable,cortos|malos|amigos,comidas|deportes,NA,- Soy una persona muy saludable. - ¿Haces mucho deporte y comes sano? - No. Es que la gente me saluda por la calle y yo... pues les devuelvo el saludo.
1000 chistes,Orígenes del hamster,cortos|malos|animales,ratones,NA,- Que hamster más bonito - Si se llama Sam - ¿Y dónde lo compraste? - En Hamsterdam
1000 chistes,Te detesto,cortos|malos,absurdos|letras,NA,- Te detesto. - K de kilo. - ¿Qué dices? - No sé... has empezado tú.
1000 chistes,No tienes ni idea,malos|cortos,ciudades,NA,- No tienes ni idea de lo que soporto - Una ciudad de Portugal
1000 chistes,Pingüinos al ZOO,buenos|largos,zoológicos|pingüinos|camioneros,NA,"Un transportista llevaba una partida de pingüinos hacia el zoológico, cuando a medio camino se le estropea el camión refrigerado. Preocupado, trata de reparar el problema pero ve pasar un camión repartidor de leche y consigue que se detenga.   Entonces le dice al lechero:  - Mira, te voy a dar 500 euros para que me hagas el favor de llevar estos pingüinos al zoológico.  El lechero acepta el dinero y se lleva con gusto los pingüinos en su camión refrigerado. Mientras tanto, el transportista logra arreglar el daño, y de inmediato enfila hacia el zoológico.  En cuanto llega, ve salir al lechero, con los pingüinos detrás de él, en fila. El chófer le pregunta al lechero:  - ¿A donde vas con los pingüinos? El lechero se lo queda mirando y le responde:  - Ya los llevé al zoológico, pero como me sobró dinero, ahora los pensaba llevar al cine...'"
1000 chistes,ABCD,cortos|malos,lenguas,NA,- ¿Cuál es la última letra del abecedario? - La 'O'. - ¿No es la 'Z'? - ¡No hombre! Si no sería abecedarioz.
1000 chistes,Vuelo demorado,cortos|malos,colores,NA,"- Señora, disculpe pero su vuelo viene demorado. - ¡Ay, que emoción, es mi color favorito!"
1000 chistes,En la corte de apelaciones del tribunal supremo,cortos|malos,jueces|juez,NA,"– ¿Cómo se declara el acusado? – Con flores y arrodillado, la verdad juez, soy un hombre bastante tradicional…"
1000 chistes,La paloma más cara del mundo,buenos|animales|cortos,palomas,NA,"Se encuentran dos amigos: – ¿Sabes? Hoy me he comprado una paloma que cuesta diez mil euros. – ¿Mensajera? – No no, no te exagero"
1000 chistes,De chinches,cortos|malos|animales,malísimos|chinches,NA,"- ¿Que le dice un chinche a otro chinche? - Te voy a ser chinchero, yo te quiero"
1000 chistes,De Morsas,animales|malos|cortos,desayunos|morsas|malísimos,NA,- ¿Qué le dice una morsa a otra morsa? - ¿Almorsamos o qué?
1000 chistes,La honestidad y otros valores,cortos|buenos|ladrones,librerías|libros,NA,"- Estoy leyendo un libro nuevo que se llama 'La honestidad y otros valores'  - Que bueno, ¿dónde lo compraste?  - Lo robé de la librería de la esquina"
1000 chistes,Todo hombre desea...,cortos|malos,madres|hijas|hombres,NA,"- Mamá, soy fea?  - No hija, tienes lo que todo hombre desearía para si.  - En serio?  - Si, tienes voz gruesa, espalda ancha y pelos en el pecho."
1000 chistes,No podíamos parar de reir,cortos|malos,tartamudos,NA,Todo era risas hasta que nos dimos cuenta que el tartamudo quería JAMÓN
1000 chistes,Pan de ayer,cortos|malos,panaderías,NA,"Un hombre entra en una panadería… -¿Tiene usted pan de ayer? -Sí -Pues no haber hecho tanto, tonto. …Y se va"
1000 chistes,Larga espera,cortos|malos,frutas|peras|manzanas|autobuses,NA,Una pera esperando el autobús. Llega una manzana y le pregunta: - ¿Hace mucho que espera? - Toda la vida.
1000 chistes,La graduación,cortos|malos,oculistas|gafas|universidades,NA,"- Papá, papá ¿vendrás a mi graduación? - No, hijo. Cuando llegues a casa ya me enseñarás tus gafas nuevas."
1000 chistes,El hombré que entró en mi casa,cortos|buenos|ladrones|borrachos,comisarías,NA,Entra un borracho en una comisaría:  - ¿Podría ver al hombre que robó ayer en mi casa?  - ¿Y para qué lo quiere ver?  - Para saber cómo entró sin despertar a mi mujer.
1000 chistes,WHY en inglés,cortos|malos,idiomas|inglés,NA,- Que significa WHY en inglés? - Por qué. - Por saberlo
1000 chistes,En Pakistán,cortos|buenos|animales,vacas|ovejas,NA,- No sé si conseguiré enamorar a esa chica... - ¿Tienes vacas y ovejas? - Sí. - Pues ya tienes mucho ganado.
1000 chistes,Sintaxis,cortos|buenos|niños,taxis|autobús|padres,NA,"- Papá, que significa sintaxis - Que tienes que coger el autobús - Gracias papá, eres genial - Uno que ha estudiao"
1000 chistes,Cita por Tinder,cortos|malos,ligar|tinder,NA,"Una cita por Tinder, todo son nervios: - Hola, soy Antonio - Hola... soy Sara... Vaya, si eres vizco - No, lo que pasa es que tengo un ojo tan bonito que el otro se lo queda mirando"
1000 chistes,Trabajo principal,cortos|malos,trabajos,NA,"-¿A qué te dedicas? - Básicamente a respirar. No gano mucho, pero me da para vivir."
1000 chistes,Jesús juega a golf,buenos|religión,golf|deportes|Jesús,NA,"A fin de relajarse tras su ardua labor de predicar y obrar milagros, Jesús decide tomarse un descanso a orillas del mar de Galilea.  Durante una partida de golf con uno de los apóstoles, se encuentra con que ha de llevar a cabo un golpe complicado; Jesús lo hace mal y la pelota termina en el agua. Así que recurre a su truco habitual: camina sobre las aguas hasta donde está la pelota, se agacha y la recoge. Cuando Jesús intenta repetir el golpe, el apóstol le dice que es muy difícil:  - Sólo alguien como Tiger Woods puede conseguirlo;  Jesús le contesta  - Soy el hijo de Dios, puedo hacer cualquier cosa que haga Tiger Woods! y repite el golpe. La pelota acaba de nuevo en el agua, de manera que Jesús vuelve a caminar sobre su superficie para recuperarla. En ese momento, pasa por allí un grupo de turistas americanos, y uno de ellos, al observar lo que ocurre, se vuelve hacia el apóstol y le dice:  - Dios mío, ¿quién es ese tipo? ¿Es que se cree Jesús o qué? A lo que el apóstol le contesta:  - No, se cree Tiger Woods!"
1000 chistes,Como ha ido el examen,cortos|malos|Jaimito,frio|matemáticas,NA,"Jaimito ¿cómo te ha salido el examen de Matemáticas? - Pues más o menos como a los del Polo Norte - ¿Cómo a los del Polo Norte? ¿Qué quieres decir? - De cero para bajo mamá, de cero para bajo!"
1000 chistes,Quién baila con mi amiga,cortos,discotecas|ligar|bailes,NA,"En una discoteca, un chico pregunta a una chica: - ¿Bailamos? - Claro. ¿Pero quién saca a mi amiga? - Ahhh, por eso no te preocupes. ¡SEGURIDAAAAD!"
1000 chistes,El Rey y el pronostico del tiempo,buenos|largos|animales,reyes|burros|campesinos,NA,"Había una vez un rey que quería ir a pescar. Llamó al meteorólogo real y preguntó por el pronóstico del tiempo para las próximas horas. El meteorólogo le aseguró que no había ninguna posibilidad de lluvia en los próximos días.  Así que el rey fue a pescar con su esposa, la reina. En el camino se encontró con un granjero que iba en su burro. Al ver al rey, el granjero le dijo:  - Su Majestad, debe regresar al palacio de inmediato porque en poco tiempo una gran cantidad de lluvia caerá en esta zona.  El rey hizo caso omiso confiando en su pronosticador profesional del tiempo. Así que siguió su camino.  Poco tiempo después una lluvia torrencial cayó del cielo. El rey y la reina quedaron totalmente empapados y su séquito se rió al verlos en ese estado tan vergonzoso.  Furioso, el rey regresó al palacio y dio la orden de despedir al profesional. Entonces convocó al granjero y le ofreció el prestigioso y muy bien pagado trabajo de pronosticador real.  Pero el granjero le contestó:  - Su Majestad, no sé nada de previsiones, obtengo mi información de mi asno, si veo las orejas de mi asno caer, significa con certeza que lloverá.  Así que el rey contrató al burro. Y así comenzó la práctica de contratar burros para trabajar en el gobierno y ocupar las posiciones más altas e influyentes."
1000 chistes,Una de calamares,cortos|buenos,bares,NA,"- Camarero, ponga una de calamares a la rumana, por favor. - Será a la romana. - Irina, cariño, dile al camarero este de dónde eres..."
1000 chistes,Un ciego en un bar,buenos,rubias|bares,NA,"Entra un ciego en un bar y le dice a la camarera de la barra. - Quieres oír un chiste de rubias? La camarera responde. - Soy rubia, y el surfero que está a tu lado también, y los 3 militares que tienes detrás también, en la mesa del fondo hay un pareja de rubias y esos moteros que están fuera 2 son rubios también. Estás seguro de que quieres contar el chiste? - Naaah paso, que lo tendría que explicar 9 veces."
1000 chistes,CSI made in Spain,buenos|cortos,madres,NA,"- Johnson de homicidios, ¿quién es? - Agente Aguirre. - ¿Qué ha pasado? - Asesinato de un varón de 38 años. Su madre le ha dado 6 puñaladas por pisar lo fregao. - Han detenido a la madre? - No, todavía está mojado"
1000 chistes,Nomenclatura marinera,cortos|buenos,marineros|capitán,NA,"Esto es un capitán y un marinero. - Capitán, ¿puedo desembarcar por la izquierda por favor? -Se dice por babor. - ¿Puedo desembarcar por la izquierda por babor?"
1000 chistes,De bolis,cortos|malos,bolis|gimnasios,NA,- ¿Qué hace un boli Bic en el aire? .... AeroBic.
1000 chistes,En un restaurante cualquiera...,cortos|camareros|malos,vino,NA,"- Caballero, ¿vino con el filete? - No, he venido yo solo."
1000 chistes,Árbol de navidad y Suegra,cortos|suegras,navidad,NA,- ¿En qué se parecen los árboles de navidad y las piernas de tu suegra? - En que los dos tienen el 'cableado por fuera'
1000 chistes,de bombillas,malos|cortos,bombillas,NA,"Una bombilla en una fiesta le dice a otra: - Tia! Te noto como apagada. Y su amiga le contesta: - No, es que estoy fundida."
1000 chistes,Hobbies?,cortos|malos,entrevistas|trabajos,NA,"- Y para terminar la entrevista..., dígame cuáles son sus hobbies preferidos. - Bilbo, Frodo y Samsagaz."
1000 chistes,Policía científica,cortos|malos,matemáticos|matemáticas,NA,"- Ha cometido usted un crimen matemático. - Pues, lo asumo. - Pues, lo arresto."
1000 chistes,Técnica cortatroncos,vascos|cortos|buenos,desierto,NA,"- Ahí va Patxi, como cortas troncos! Donde has aprendido? - Pues en el Sahara! - Pero si allí no hay arboles! - No, ahora ya no..."
1000 chistes,La clave,cortos|malos,wifi,NA,"- ¿Tienes wi-fi? - Sí - ¿Y cuál es la clave? - Tener dinero, llamar a una operadora y contratarlo, no tiene más..."
1000 chistes,Pobres patitos,cortos|malos|animales,patos,NA,- ¿Por qué los patos no tienen amigos? - Porque son muy antipáticos
1000 chistes,En la pescaderia,cortos|malos,pesca|pescaderia|gambas,NA,"En la pescadería, comprando para la cena de navidad:  - Muy buenas, hay gambas? - Muy buenas. - Muy buenas, hay gambas?  - Muy buenas - ...."
1000 chistes,Pobre actor,cortos|malos,actores,NA,- ¿Sabes a qué actor le dan siempre el pésame? - A Johnny DEP
1000 chistes,"Al médico, bien acompañado",cortos|buenos|médicos,abuelos|viejos,NA,"Esto es un hombre mayor que va a su médico, pero va acompañado de dos preciosas mujeres morenas, de cuerpos voluptuosos y sonrisas radiantes. El doctor, sorprendido le pregunta:  - Pero Ramiro ¡¿Cómo está usted?! - Bien, doctor, he seguido sus indicaciones y mano de santo oiga! - Le dije que necesitaba dos muletas ¡no dos mulatas!"
1000 chistes,Matrimonio post mortem,cortos|buenos|matrimonios,muertos|cielo,NA,"Después de medio siglo de matrimonio, él se muere, y al poco tiempo después, ella también y se va al cielo. En el cielo, ella encuentra al marido y corre hasta donde él y le dice: - ¡Amor mio! ¡Que bueno encontrarte! Y él responde: - ¡No me vengas con esas! El contrato fue clarito: ¡Hasta que la muerte nos separe!"
1000 chistes,Cazador muerto,buenos|animales,cazadores,NA,"Dos cazadores se encuentran persiguiendo a una presa por el bosque cuando uno de ellos cae al suelo. El hombre parece haberse quedado sin aliento y tiene los ojos vidriosos. Su compañero agarra el teléfono, llama al número de emergencias y dice jadeando: - ¡Mi amigo está muerto! ¿Qué puedo hacer? La operadora le dice: - Tranquilícese, puedo ayudarlo. Primero asegurémonos de que efectivamente está muerto. Se crea un silencio y a continuación se escucha un disparo. Al volver al teléfono, el amigo dice: - De acuerdo, y ahora ¿qué?"
1000 chistes,¿Cuál es el animal más antiguo?,cortos|malos|animales,vacas,NA,- ¿Cuál es el animal más antiguo?  - La vaca - ¿Por qué?  - Porqué esta en blanco y negro.
1000 chistes,Por qué te casaste con mama,cortos|malos|matrimonios|niños,padres,NA,"-Papa, ¿por qué te casaste con mama? - Tu tampoco te lo explicas, ¿verdad hijo?"
1000 chistes,El salón de belleza,cortos|malos,tías|peluquería,NA,"Tía Rosario, ¿de donde vienes? - Del salón de belleza. - Estaba cerrado, ¿verdad?"
1000 chistes,La visita del Diablo,cortos|religión|matrimonios,ancianos|viejos,NA,"Aun no había comenzado la misa. Algunos conversaban bajito, otros rezaban. De repente se aparece el Diablo frente a la congregación. Todos salen disparados en estado de pánico. Todos... menos un viejecito que ni se movió. El Diablo le clavo una mirada fulminante y le dijo: - ¿Y tu? ¿No me tienes miedo? - ¡Que va! ¡Estuve casado con tu hermana cuarenta años!"
1000 chistes,Habitación compartida,buenos,hoteles|ronquidos|habitaciones|hombres,NA,"Llega Tomás a un hotel y pide habitación. El encargado le dice que sólo tiene una cama en un cuarto compartido, la cual nadie quiere porque el otro huésped ronca muy fuerte. Tomás le responde que no hay problema y decide compartir la habitación. A la mañana siguiente el encargado le pregunta si durmió bien. - Perfectamente -responde Tomás.- ¡Muchas gracias! - ¿Y el señor de los ronquidos? - Mire, apenas entré en la habitación, le di un beso en la mejilla y una palmadita en la nalga. ¡¡¡Y se pasó toda la noche con los ojos abiertos y con el culo pegado a la pared!!!"
1000 chistes,capítulo 32 de San Lucas,cortos|malos|religión,curas|iglesias,NA,"Los feligreses en la iglesia y el padre comienza a hablar:  - Hermanos hoy vamos a hablar de las mentiras. ¿cuantos de ustedes recuerdan que dice el capitulo 32 de San Lucas?  - Y todos levantaron las manos. - Precisamente a eso me refería, el evangelio de San Lucas solo tiene 24 capítulos."
1000 chistes,El filósofo del pueblo,cortos|infidelidad|matrimonios|malos,filosofico,NA,"- María, tú me estás engañando con el filósofo del pueblo. - Eso no son más que falacias Pedro, simples falacias."
1000 chistes,Wifi,cortos|malos,wifi|bares,NA,"- Disculpe ¿me puede decir la contraseña del Wifi de su Bar? - Tómate una caña por lo menos, hombre! - Aja... ¿Todo junto?"
1000 chistes,Más espacio,cortos|malos|matrimonios,informática,NA,"- Mi mujer me dijo que ya no podía más, qie necesitaba más espacio. - ¿Y qué hiciste? - La regalé un disco duro de 2Tb."
1000 chistes,Técnicas de ligue avanzadas,cortos|malos|animales,ligar|vacas|ovejas,NA,- No sé si conseguiré enamorar a esa chica... - ¿Tienes vacas y ovejas? - Sí. - Pues ya tienes mucho ganado.
1000 chistes,Vino de...,cortos|malos,vinos,NA,"- ¿Este vino, de dónde es? - De Islandia, creo. - ¿No pone la ciudad en el envase? - Tetravrik."
1000 chistes,Consulta de 4 a 7,cortos|Lepe|malos|médicos,enfermo,NA,"Dos leperos van al médico y ven un cartel: 'CONSULTA DE 4 A 7'. Así que uno de ellos le dice al otro: -Oye, que solo somos dos, vamos a buscar otra pareja de enfermos."
1000 chistes,Catalán en la ambulancia,cortos|buenos|catalanes|médicos,ambulancia,NA,"Estaba un catalán en su casa y le da un ataque cardíaco, avisan a la ambulancia, lo montan en la camilla, lo suben en la ambulancia y de camino el médico le dice a su ayudante: -¡Rápido, póngale la mascarilla! Y el catalán: -¡No, por favor, póngame la más baratilla!"
1000 chistes,Tetrabrik vino Don Simón,cortos|malos,vino|película,NA,Se abre el telón y se ve un tetrabrik de Don Simón. ¿Cómo se llama la película? -'Es tinto básico'.
1000 chistes,Frontón divino,vascos|buenos,deportes|frontón|deportistas,NA,"Dos vascos: -Oye, Patxi, ¿en el cielo habrá frontón? -Pues yo creo que sí, Iñaki, porque, si allí todo es perfecto, pues habrá frontón. -Oye, pues el primero que se muera que se lo diga al otro. -De acuerdo. Al cabo de unos años, Patxi se muere y, al día siguiente, Iñaki oye una voz de ultratumba: -Iñaaaaaki, Iñaaaaki, Iñaaaaaki, soy Patxi. -¿Qué quieres? -Que te tengo que dar dos noticias, una buena y otra mala. -¿La buena? -Que yo tenía razón, que aquí hay un frontón fantástico, de más de 60 metros de fondo y unas instalaciones alucinantes. -¿Y la noticia mala? -Que juegas mañana a las 11:00"
1000 chistes,Menú del dia,camareros|malos|ladrones,restaurantes,NA,"Esto es un hombre que entra a un restaurante y le pide a un camarero el menú del día. El camarero le entrega la hoja, en donde se puede ver que es un menú algo caro (45€). Al leer aquello, le pregunta al camarero: -¿Oiga, pero aquí no hacen descuento a los colegas? - ¿Ah! Pero usted también es camarero? -No, soy un ladrón."
1000 chistes,No hay química,cortos|malos,parejas|novios|química,NA,"- Mi novia me ha dejado una nota en la mesa que ponía: 'Me voy, no hay química' - No la entiendo, ¿si le han anulado la clase para qué va?"
1000 chistes,Juntos pero separados,cortos|buenos,marineros,NA,"Dos mujeres, una le dice a la otra: - Mi marido es marinero y se pasa 11 meses en el mar y uno en casa. - Vaya... ¿Se te debe hacer eterno? - No te creas porqué se pasa medio mes en casa de su madre."
1000 chistes,El barco se hunde,religión|buenos|cortos,marineros|barcos,NA,"Un marinero de un barco que se hunde grita desesperadamente: - ¿Hay alguien a bordo que sepa rezar con devoción? - Sí, yo, responde un pasajero. A lo que el marinero responde: - ¡Perfecto, porque nos falta un chaleco salvavidas!"
1000 chistes,Examen de Análisis Matemático,cortos|malos|vascos,matemáticas|matemáticos,NA,"En Bilbao, al salir de un examen de Análisis Matemático: - Oye Patxi, ¿qué te ha dado el segundo límite, pues?. - Más infinito - ¿Sólo?"
1000 chistes,2 cadaveres,cortos|malos,muertos|cementerios,NA,"Estan 2 cadaveres en el cementerio y uno empieza a reírse y dice: -Jajajajaaja, me vivo de la risa!"
1000 chistes,"Tan verde, tan verde",verdes|cortos|malos|animales,ovejas,NA,"Había un campo tan verde, tan verde verde, que las ovejas menores de dieciocho años no podían entrar."
1000 chistes,Podríamos tener otro hijo,cortos|malos|niños,hijos,NA,"- Amor mío, creo que podríamos tener otro hijo. - Me parece bien, a mi tampoco me gusta el que tenemos ahora..."
1000 chistes,Obsesión por el fútbol,cortos|matrimonios,deportes|futbol|parejas,NA,"- ¡Cariño, estás obsesionado con el fútbol y me haces falta! - Queeeeeé??? Faltaaa? Falta? si ni siquiera te he tocado, vamos.... como puedes decir falta..."
1000 chistes,Contra el maniquí,cortos|malos,tiendas,NA,"Un hombre va caminando por la calle, ve una tienda de ropa, entra y comienza a pelearse con el maniquí. - Oiga, que hace pegando a este maniquí - ¡Es que no soporto a las personas falsas!"
1000 chistes,Ya no me escuchas,matrimonios|cortos,parejas|cenas,NA,"- Ya no me escuchas cuando te hablo Antonio - Lo que quieras cariño, una tortilla o lo que te venga bien, tampoco tengo mucha hambre."
1000 chistes,Qué significa patriota,cortos|malos|catalanes,independencia,NA,"- Papá, ¿qué significa patriota? - ¿Has visto todos esos catalanes que piden la independencia? - Sí - Po tráeme una birra. Y pa-ti-otra"
1000 chistes,Muy buen currículum,malos|cortos,curriculum,NA,"- Nos gusta mucho su currículum, señor Juan, pero no especifica su teléfono. - No. - ¿Y cómo le llamamos?  - Juan."
1000 chistes,Los vagos van al infierno,cortos|malos,vagos,NA,"- Una pregunta, ¿los vagos vamos al infierno? ¿O vienen a recogernos?"
1000 chistes,Un ladrón muy nervioso,ladrones|suegras|buenos,armas|bancos,NA,"Un ladrón entra a un banco, apunta con su arma al cajero y exige que le de todo el dinero. Una vez con el botín, se da la vuelta hacia uno de los clientes y le pregunta: - ¿Usted me vio robar? - Si, pero de refilón El ladrón le pega un tiro en la cabeza. Se dirije a otra persona que había al lado: - ¿Y usted,me vio robar? - No, la verdad es que apenas vi nada... El ladrón le pega dos tiros en la cabeza. Se da vuelta hacia una familia que estaba parada a su lado y pregunta: - ¿Y usted, me vio robar? El hombre le contesta: - Yo no vi nada... pero mi suegra si, la vi grabándote con el móvil."
1000 chistes,Bosque argentino,cortos|internacionales,bosques|argentinos,NA,- ¿Que le dice un bosque argentino a otro? - ¿Y vos qué?
1000 chistes,Ratas i murciélagos,animales|cortos,ratas|murcielagos,NA,"Una rata que se echa un murciélago de novio y otra rata amiga suya le dice: - Oye vaya novio feo te has echado no? - Si, pero es piloto"
1000 chistes,Supermentiroso,cortos|buenos,mentirosos,NA,"- Doctor, todo el mundo cree que soy un mentiroso - Sinceramente, eso no puede ser..."
1000 chistes,Se parece a su padre,cortos|infidelidad,padres|vecinas,NA,"Una vecina a otra: - Uo! Es increíble el parecido que tiene tu hijo con su padre! - Sí, ya... pero habla más bajo que mi marido está en casa!!"
1000 chistes,Pastillas para el cansancio,cortos|malos,farmacias|farmaceuticos,NA,En la Farmacia: - ¿Tienen pastillas para el cansancio? - Están agotadas
1000 chistes,CSI Torrelodones,cortos|malos,policías|españoles,NA,"En la escena del crimen: - Hola! John, soy de narcóticos. - Javier, yo soy más de cubatas de toda la vida."
1000 chistes,Dos noticias,cortos|malos,coches|padres,NA,"- Papá, tengo una buena y una mala noticia... - Empieza por la buena, dame una alegría anda... - ¡Los airbags de tu coche funcionan muy bien!"
1000 chistes,En qué trabajas,buenos,trabajos,NA,- ¿En qué trabajas? - Soy director general de una empresa de importación y exportación. - Qué puesto más importante - ¡Y exportante!
1000 chistes,Despedida científica,cortos|malos,científicos|química,NA,- ¿Cómo se despiden los químicos? - Ácido un placer
1000 chistes,Gallego guiña un ojo,cortos|malos,gallegos,NA,"Si un gallego te guiña un ojo, ¿es un galleguiño?"
1000 chistes,Una vaca dificil,cortos|animales,toros|vacas|futbol,NA,"Dos pueblerinos hablando: - Tengo un problema, y es que a mi vaca no le gustan los toros. - ¿Has probado a llevarla al fútbol?"
1000 chistes,Genio de los negocios,cortos|malos,hoteles,NA,"Un hombre le pregunta al dueño del hotel: - No lo entiendo ¿por qué en verano cobras menos por noche que en invierno? - Claro es muy sencillo, ¿no ves que en el verano las noches son más cortas?"
1000 chistes,Una ración de setas,cortos|malos|camareros,setas|dinero,NA,"- Camarero, una ración de setas! - Serán 15€, por favor. - Pero... ¿me las va a cobrar antes de comerlas? - Es que con las setas... nunca se sabe!"
1000 chistes,Duda post matrimonial,cortos|matrimonios,muertos|casados|novios,NA,"Una pareja de novios recién casados comentan: - Oye, una pregunta amada mía, que se me acaba de ocurrir sin motivo...  - Dime mi amor - Si algún yo me muriera ¿Llorarías? - Pues claro!. No ves que yo lloro por cualquier tontada..."
1000 chistes,Lápida de un hipocondríaco,malos|cortos,lápidas|funerarias|enfermo,NA,Inscripción en la lápida de un hipocondríaco:  'Ya te decía yo que algo me pasaba'
1000 chistes,Mejor bolígrafo,cortos|malos,colegios|clases,NA,"En clase dos niños: - Mi bolígrafo escribe en diez colores. - Bah! Eso no es nada! El mío los escribe todos! - Anda ya, pero si el tuyo sólo tiene tinta azul.. -Ya, pero es capaz de escribirlos todos te lo voy a demostrar ..Y escribe en una libreta : rojo, rosa, verde, amarillo, violeta, azul, granate, negro..."
1000 chistes,Cruzar el río,malos|animales,ríos|patos,NA,"Un hombre al lado de un río que quiere atravesar, le pregunta a otro hombre que estaba al otro lado del río: - ¿Es muy profundo este río? ¿Se puede pasar sin que me cubra? - Sí, claro que sí, sin problema. Es un río muy seguro y tranquilo. En esto que el hombre se mete todo dispuesto en el río, y de repente se le empieza a llevar la corriente río abajo. Cruza como puede nadando a la desesperada y sale del río, se dirige enfadadísimo hacia el hombre: - Pero tú, desgraciado!! Cómo me dijiste que el agua no cubría y que se podía cruzar sin ningún problema el río!!?? - Ah... pues... hace unos minutos lo cruzó un patito y el agua no le cubría nada!"
1000 chistes,Nunca llueve en Uruguay,cortos|malos,paraguayos,NA,- ¿Por qué nunca llueve en URUGUAY? - Porque está debajo de PARAGUAY.
1000 chistes,"Otra vez, una mosca en la sopa",cortos|malos|camareros|animales,moscas|arañas,NA,"- Camarero, hay una mosca en la sopa! - Tranquilo, que la araña que hay en el pan se la comerá pronto..."
1000 chistes,Ancas de rana,cortos|malos|restaurantes|camareros|animales,ranas,NA,"En un restaurante: – Camarero, camarero, ¿tiene usted ancas de rana? – Sí, señor. – Bueno, pues brinque hasta la cocina y tráigame mi filete, por favor."
1000 chistes,"Bond, James Bond",cortos|buenos,hoteles,NA,"En la recepción de un hotel: - ¿Nombre? – Bond, James Bond. – Bien, Bond James Bond – No. James y Bond a parte – ¿James Bonaparte? – James Bond, y ya – ¿James Bonilla? – Apunte 007… - ... Lo siento... esa habitación no está disponible - ..."
1000 chistes,Pelo sucio en chino,cortos|malos,chinos,NA,- ¿Cómo se dice pelo sucio en chino? Chin cham pu.
1000 chistes,Novio mecánico,buenos|verdes,mecánicos,NA,"- Papa, Papa! Ayer salí con mi nuevo novio mecánico y me dijo algo que no entiendo. Me dijo que tengo un lindo chasis y dos bellos amortiguadores, aparte de dos fabulosos paragolpes. El padre le contesta: - Dile a tu novio, que si abre el capo y mide el aceite del motor,le rompo el tubo de escape!"
1000 chistes,Bendice estos alimentos,cortos|buenos,madres,NA,- Tu rezas antes de comer. - No señor. Mi madre es buena cocinera.
