"id","titulo","texto"
 30,"Periódico en la nevera","- ¿Por qué los de Lepe meten el periódico en la nevera?#- Para leer las noticias frescas..."
 31,"Do you speak English?","Se encuentra un inglés con un campesino español y dice:#- Do you speak English?#- ¿Cómo dice usted?#- Do you speak English?#- ¡No lo entiendo!#- Le pregunto que si habla usted Inglés.#- ¡Ah sí, perfectamente!"
 32,"Colmo de electricista","- ¿Cuál es el colmo de un electricista?#- Que su esposa se llame Luz y sus hijos le sigan la corriente."
 33,"El colmo de un ciego","- ¿Cuál es el colmo de un ciego?#- Llamarse Casimiro Buenavista y vivir en el número once de la calle Bella vista en el piso noveno B."
 34,"Demostración cientifica","Llega un borracho al médico, el médico le trata de demostrar que tomar licor es malo y se lo demuestra con una lombriz, primero la mete en un vaso con agua y la saca y no pasa nada, luego la mete a un vaso con vino y la lombriz muere en pocos segundos. Luego le dice a su paciente:#- ¿Ya ves lo que le pasa a los que beben mucho?#- Sí doctor - contesta el borracho - Es una suerte ¡Nunca tendremos lombrices!"
 35,"Feochef","Era un cocinero tan feo pero tan feo, que hacía llorar a las cebollas."
 36,"Murió de cataratas","Dos amigos charlando:#Mi tío se murió de cataratas.#-¿Le operaron?#-No, le empujaron al Niágara."
 37,"Cuanto cuesta","Un señor entra en un bar y le dice al camarero:#-¿Cuánto cuesta un café?#-1 Euro- responde el camarero.#-¿Y el azúcar?#-¡Es gratis!#-Pues póngame un kilo de azucar, por favor."
 38,"Contradicciones incomprensibles","Dos amigos se encuentran:#- Tio... La vida es solo una concatenación de contradicciones, una tras otra.#- ¿Qué?¿Por qué?#- Por ejemplo: 'Separado' se escribe todo junto y 'todo junto' se escribe separado."
 39,"Marcianos en Lepe","Aterrizan dos marcianos en la Tierra y van a parar a la casa de uno de Lepe. Bajan los marcianos de la nave, se acercan a una casa y llaman a la puerta:#-Quién es?#- Venimos de marte.#- De marte de quien?"
 40,"Postura flamenca","- ¿Por qué los flamencos se tienen sobre una sola pata?#- Porque si no se caerían."
 41,"Ignorancia o indiferencia","- ¿A ti qué es lo que más te molesta, la ignorancia o la indiferencia?#- ¡Ni lo sé ni me importa!"
 42,"La muerte del elefante","Un señor visita el zoo y ve como un hombre llora sentado en el suelo.#- ¿Qué le pasa a usted?#- Que se ha muerto el elefante...#El señor conmovido dice:#- Ah claro...lo quería usted mucho ¿no? Es que a los animalitos se les toma mucho cariño...#- No!! – interrumpe – Es que soy yo el que tiene que abrir el hoyo para enterrarlo!!"
 43,"Sombrero nuevo","Una señora que acaba de estrenar un sombrero y se encuentra a una amiga:#- ¿Te gusta mi sombrero nuevo? ¿Verdad que me favorece y me quita diez años por lo menos?#- Puede ser, ¿cuántos años tienes?#- Treinta.#- No mujer, digo sin descontar los que te quita el sombrero...!"
 44,"La ha visto todo","Se abre el telón y aparece una persona muerta y al lado un higo que lo ha visto todo...#- ¿Cómo se titula la película?#- Únhigo testigo."
 45,"Actor principal","- Se abre el telón y aparece un chino tocando un arpa.#- ¿Cómo se llama el actor de la película?#- Alpa chino."
 46,"Que fea es la novia","En pleno bodorrio, un infiltrado gorrón se acerca a uno de los invitados y le dice:#- ¿Te has fijado en lo fea que es la novia? Pobre muchacho, lo que tendrá que aguantar...#- Pero bueno, ¿cómo dices eso? ¡¡Es mi hija!!#- ¡Uy! Perdona..., no creí que fueras su padre...#- Es que no soy su padre, soy su madre."
 47,"Qué te han traido los Reyes","Dos niñas en el patio de la escuela después del día de Reyes. Le pregunta una a la otra:#- ¿Qué te han traido los Reyes Magos?.#- Una mini-cadena - contesta la otra muy afónica.#- ¡¡Ah!! muy bien, pero ¿por qué hablas tan bajito...?#- Es que me aprieta mucho..."
 48,"Marcianos amigos","- ¿Papá, los marcianos son amigos o enemigos?#- ¿Por qué lo preguntas, hijo?#- Es que se están llevando a mi abuelita.#- Pues entonces, son amigos!!!"
 49,"Abuela fosforescente","- Mamá, mamá, ¿La abuela es fosforescente?#- No hijo, ¿Por qué?#- Entonces, se está electrocutando."
 50,"La mariguana causa...","La mariguana causa amnesia y...otras cosas que... no recuerdo."
 51,"¿De cerca o de lejos?","Un campesino va a la capital para comprarse unas gafas y cuando llega a la óptica le pregunta el oculista:#- Para qué las quiere caballero, ¿para cerca o para lejos?#- No! No muy lejos... para aquí por la provincia..."
 52,"Abuelo,no te comas las uñas","Se encuentran dos amigos y dice uno:#- No sé qué hacer con mi bisabuelo, se come las uñas todo el tiempo.#- Al mío le pasaba igual, y le quité la manía en un momento.#- ¿Cómo? ¿Le amarraste las manos?#- No, le escondí los dientes."
 53,"Engaño al chofer","Llega un niño muy contento a su casa y le dice a su papá:#- ¡Papá, papá, engañé al conductor del autobus!#El papá le responde muy emocionado por la trampa de su hijo y le pregunta:#- ¿Cómo lo has hecho, hijo?#El muchacho le responde:#- Le pagué y no me subí."
 54,"El timbre al dedo","- ¿Qué le dice el timbre al dedo?#- No me toques, que grito!"
 55,"Pillar el chiste","¿Cuántas veces se ríe un hombre cuando le cuentan un chiste?#Tres:#- Cuando se lo cuentan.#- Cuando se lo explican.#- Cuando lo entiende."
 56,"Hospital Japonés","- ¿Cómo se dice Hospital en Japonés?#- Otikuro otimato."
 57,"De Lepe en un avión","Dos leperos en un avión de hélice y dice uno:#- Si serán tontos, con tanto calor aquí dentro y sin embargo los ventiladores los tienen ahí fuera...."
 58,"No cabe en la cama","Era un tipo tan gordo tan gordo, que su ángel de la guarda tenía que dormir en otra cama."
 59,"La Piña que...","Primer acto: aparece una piña entrando en el autobús sin pagar.#Segundo acto: una piña entra en el cine sin pagar.#Tercer acto: una piña entra sin pagar a una discoteca.#- ¿Cómo se llama la película?#- La piña colada"
 60,"Jaimito y sus dos noticias","Jaimito le dice a su padre:#- ¡Papá, papá, tengo una noticia buena y otra mala!#- Primero la buena#- ¡Que he aprobado todas!#¿Y la mala?#- ¡Que es mentira!"
 61,"Viaje para dos","Un hombre tacaño sube a un taxi y cuando llega le dice el taxista:#- Son 10€.#Y el hombre le da 5 y le dice el taxista:#- Oiga le he dicho que son 10€.#- Si pero hemos ido los dos."
 62,"Precios de Taxi","Va un tacaño con muchas maletas encima. Hace parar un taxi y le pregunta al taxista:#- ¿Por cuánto me lleva al aeropuerto?#- Por 30 euros.#- ¿Y las maletas?#- Las maletas se las llevo gratis.#- Entonces, llévame las maletas, yo me voy caminando."
 63,"Una camisa y un hotel","- ¿En qué se parece una camisa vieja a un hotel pobre?#- En que ninguno tiene botones."
 64,"Piadosa Navidad","Como era Navidad el juez prometió ser piadoso. Le pregunta a un acusado:#- ¿De qué se le acusa?#De haber hecho mis compras navideñas con anticipación.#- Hombre, pero eso no es un delito, ¿Con cuánta anticipación las compró usted?#- Antes que abrieran la tienda."
 65,"El panadero y el loco","Un loco entra a una panadería y le pregunta al panadero:#- Señor, ¿ya salió el pan?#Y el panadero le dice:#- Sí, ya salió.#Entonces el loco le pregunta:#- ¿Y a qué hora regresará?"
 66,"La escuela ideal","En la escuela, la maestra dice:#- A ver Luis, ¿cómo te imaginas la escuela ideal?#- ¡Cerrada, maestra!"
 67,"Disculpe pero...","Entra una señora a la carnicería y dice:#- Deme esa cabeza de cerdo de allí.#Y contesta el carnicero:#- Perdone señora, pero eso es un espejo."
 68,"La lucha contra el alcohol","Entre dos borrachos#- Pues yo dedico 120 euros semanales a lucha contra el alcohol.#- Venga ya !#- Que si, tío, cuanto mas bebo yo, menos beben los demás."
 69,"Si que hay loco suelto","Un amigo le dice a otro:#- Jo, tío, no veas si hay locos sueltos por la calle.#- A mí me da igual... como soy invisible..."
 70,"Quién hay en la habitación 24","Un hombre llama por teléfono a un manicomio y pregunta:#- ¿Quién hay en la habitación 24?#- Nadie.#A lo que el hombre responde lleno de júbilo:#- Bien !!! Entonces me he escapado!"
 71,"El loco y la carta","En un manicomio, una de las enfermeras ve a un paciente escribiendo.#- Hola Pepe, que haces ?#- Estoy escribiendo una carta.#- Y a quien se la vas a mandar ?#- A mi mismo.#La enfermera siguiendo el juego comenta:#- Aja, ya veo... y dime, qué te cuentas ?#Ante esta pregunta responde el loco extrañado:#- ¿cómo quiere que lo sepa? Si todavía no la he recibido!"
 72,"La niñera rara","Una niñera que regresa de un paseo por el parque con el bebé, cuando llega a casa la madre sorprendida ve que la niñera trae a otro bebé y angustiada le pregunta:#- ¿Que sucedió? ¿Por qué no trae a mi hijo y trae a este niño?#A lo que la niñera responde:#- Señora, usted me ha dicho que si el bebé se ensucia lo cambie."
 73,"Mi hijo va en bici","Entre madres:#- Pues mi hijo va en bicicleta desde los cuatro años.#- ¡Anda!, pues ya debe estar lejos."
 74,"Maternidad","En la sala de maternidad el jubiloso padre tomaba fotos de su bebé recién nacido. Le pregunta la enfermera:#- ¿Su primer hijo, señor?#- No, ya tengo cinco, ¡Mi primera cámara!"
 75,"Con los ojos cerrados","- Mama que haces en frente de la computadora con los hojos cerrados???#- Nada hijo es que Windows me dijo que cierre las pestañas"
 76,"Hombre previsor vale por dos","Un vecino al otro:#- ¡Oye!, y tú, ¿Por qué abres las cortinas cada vez que tu mujer se pone a practicar sus lecciones de canto?#- Para que los vecinos no crean que le estoy pegando."
 77,"En el fondo del mar","Un borracho entra a un bar y le dice a su compañero:#- ¡Ojalá que todas esas bebidas las tiren al fondo del mar!#El compañero le pregunta:#- ¿Estás en alcohólicos anónimos?#Y el borracho le dice:#- ¡No, yo soy buzo!"
 78,"Fea... muy fea...","Era una señora tan fea, pero tan fea, que cuando fue a un concurso de feos le dijeron:#- Lo sentimos, no aceptamos profesionales"
 79,"Pavos","Se levanta el telón y aparece un pavo con una metralleta, otro con un rifle y un tercero con una espada.#¿Cómo se llama la película?#- Los pavos rangers."
 80,"La luz","- Papá... ¿qué es el amor?#- Es la luz de la vida, hijo mío.#-¿Y el matrimonio?#- Es la factura que llega después."
 81,"El baño de sangre","Había 2 vampiros. Uno estaba bañado en sangre y el otro le pregunta:#- ¿De dónde sacaste tanta sangre?#- ¿Ves aquella pared de allí?#- Sí.#- ¡Pues yo no la vi!"
 82,"Asi no hay quien duerma","- ¡Pepe, Pepe, despierta!#- ¡Qué! ¡Qué quieres!#Y dice la mujer:#- ¡Que se te han olvidado las pastillas para dormir!"
 83,"Pecosos","¿Qué le dice un pecoso a otro pecoso?#-Te gano por puntos"
 84,"Pastillas para adivinar","En la feria de un pueblo un charlatán anuncia a voz en grito:#- Señoras y señores, tengo el gusto de ofrecerles el invento más sensacional del siglo XXI: 'las píldoras para adivinar'. Sólo cuestan un euro.#Uno del pueblo compra una caja. La abre y se echa una píldora a la boca.#-¡Pero si es de menta!#- ¿Lo ven ustedes? - dice el charlatán - Acaba de comprarla y ya empieza a adivinar."
 85,"Amor resurgido","- Vengo a devolverles este revólver que compró ayer mi señora.#- ¿Qué pasa?¿No funciona bien?#- Si hombre, sí que funciona. Pero por el momento ya nos hemos reconciliado."
 86,"Flautista","- ¿Cómo te las compones para vivir?#- Pues tocando la flauta.#- ¡Si tú no eres músico!#- Tapo un agujero para abrir otro."
 87,"Justo lo que necesita","Un hombre llega a la farmacia en el preciso momento en que el farmacéutico iba a cerrarla ya que tiene prisa para llegar al tren.#- ¿Qué deseaba? -le pregunta.#- Sólo quería algo para sudar.#- Aja... Tome estas dos maletas y acompáñeme con ellas hasta la estación. ¡Deprisa!"
 88,"¿Doctor?","- Doctor, doctor, ¿qué tal ha salido la operación?#- ¡Pero qué doctor ni que ocho cuartos! ¡Mire Ud. yo soy San Pedro!"
 89,"Tipologías de mujer","En lo que a comportamiento sexual se refiere, la mujer puede ser de cuatro tipos: la asmática, la matemática, la religiosa y la asesina. Al menos eso dicen los expertos ¿Cómo se reconocen? La asmática susurra: 'Ah, ah, ah....', la matemática: 'Más, más, más...' la religiosa dice: '¡Ay, Dios mío!' y la asesina: '¡como te corras te mato'"
 90,"Los programadores son malos amantes","- ¿Por qué los programadores son tan malos amantes?#- Porque siempre intentan encontrar la forma de hacer la tarea lo más rápido posible, y cuando lo consiguen están convencidos de que han mejorado."
 91,"Gafas de sol","- Buenas tardes ¿me vende unas gafas de sol?#- Aquí tiene#- Gracias#- De nada, pero deje de mirarme las tetas#- Unas más oscuras, por favor"
 92,"Me trata como a un perro","- Dígame. ¿Cuál es el motivo por el quiere divorciarse de su esposo?#- Mi marido me trata como si fuera un perro.#- ¿La maltrata, le pega?#- No, Quiere que le sea fiel...."
 93,"Escoba feliz","- ¿Por qué está la escoba feliz?#- Porque ba-rriendo."
 94,"Te lo tengo dicho","- ¡Te he dicho quince mil trescientas dos mil millones setecientas cincuenta y nueve mil quinientas cuarenta veces que no seas tan exagerado!"
 95,"Rubias en el bosque","Dos rubias se van al bosque en busca de un abeto para Navidad.#Después de dos horas de búsqueda, una le dice a la otra:#- Bueno, ¡ya es suficiente! El próximo abeto que veamos lo cogemos, ¡tenga o no tenga bolas de Navidad!"
 96,"De lata","Un cliente le pregunta al camarero del restaurante chino:#- Oiga camarero, ¿qué clase de carne era lo que he comido?#- Ela calne de lata.#- ¿Cómo es posible, si era buenísima y fresquísima, cómo va a ser carne de lata?.#- Calne de lata que cole."
 97,"Dejar el fútbol","Entre dos hombres#– Mi doctor me aconsejó renunciar a jugar fútbol.#– ¿Por qué, estas enfermo?#– No, él me ha visto como juego."
 98,"Entre estatuas","- ¿Qué le dijo una estatua a otra?#- ¡Eres un cara dura!"
 99,"Sabes como se llaman...","- Oye, ¿sabes cómo se llaman los habitantes de Barcelona?#- Hombre , pues todos no...."
100,"Ya lo verás","El jefe le dice a su trabajador:#- Antonio, ya sé que el sueldo no le alcanza para casarse..., pero créame que algún día me lo agradecerá."
101,"Truco empresarial","DE EMPRESARIO A EMPRESARIO:#- ¿Cómo consigues que tus empleados lleguen puntuales al trabajo?#- Sencillo, tengo 30 empleados, pero sólo 20 aparcamientos."
102,"Letras imprescindibles","Para que un hombre se lleve bien con una mujer , solo necesita aprendersecuatro letras : O , B , D , C"
103,"Otra vez tarde","JEFE:#- Este es el cuarto día que usted llega tarde esta semana.¿Qué conclusión saca de eso?#EMPLEADO:#- Que hoy aún es jueves..."
104,"El jefe ha muerto","- ¿Ya sabes que el jefe se ha muerto?#- Sí, pero quisiera saber quien fue el que falleció con él.#- ¿Por qué lo dices?#- ¿No leíste la esquela que puso la empresa....'...y con él se fue un gran trabajador...'"
105,"Lepe en el cine","Uno de Lepe va al cine, y la muchacha de la taquilla le dice:#- Señor, esta es la 5ª vez que compra la entrada.#El lepero le contesta:#- Ya, es que el imbécil dela puerta me la rompe..."
106,"Padre he pecado","Estaba un sacerdote sentado en la mesa a punto de almorzar, cuando de repente entra un hombre asustado gritando:#- Padre.. padre he pecado#El padre asustado también le responde:#- No, no, es de pollo"
107,"Cómo me convertí en religioso","- Mi mujer me hizo creyente#- ¿Y eso?#- ¡Yo no creía en el infierno hasta que me casé con ella...!"
108,"Sonríe cuando todo salga mal","El que es capaz de sonreír cuando todo le está saliendo mal, es porque ya tiene pensado a quien echarle la culpa."
109,"Barrera psicológica","Están dos locos en un manicomio y uno le dice al otro:#- ¡Tenemos que escaparnos!#Y el otro pregunta:#- Vale, pero ¿cómo?#- Mira, si la valla es muy alta escarbaremos por debajo, y si es muy baja saltaremos por encima.#Va a mirar la valla y cuando vuelve le dice al otro:#- No nos podemos escapar, ¡no hay valla!"
110,"Mi marido es...","- Mi marido es tocólogo.#- Pues el mio es meteorólogo.#- Que suerte tienen algunas !"
111,"Honestidad y otros valores","?- Estoy leyendo un libro que se llama 'La honestidad y otros valores'- Que bueno, ¿dónde lo compraste?#- Lo robé en la librería de aquí al lado."
112,"Bucando síntomas","-Prométeme que cuidarás a los niños y que les hablarás de mí.#-¿Ya has vuelto a poner tus síntomas en Google?#-Te quiero mucho..."
113,"Me he cortado el dedo","- Mamá, mamá... Me he cortado un dedito.#- Ponte una tirita, entonces.#- ¡Pero si es que no lo encuentro!"
114,"Primera experiencia","- Mamá, mamá... ¡Que bien! Acabo de tener mi primera experiencia sexual#- Bueno, ven hijo, siéntate y cuéntamelo todo.#- Ahora no mamá, todavía me duele el trasero"
115,"Muy gafe","Era un tío tan gafe, pero tan gafe, que se sentó en un pajar y ¡se clavó la aguja!"
116,"Fideos","- Mamá, mamá... Los fideos se están pegando.#- Déjalos que se maten."
117,"El periodo","¿Qué tienen las mujeres una vez al mes y que les dura 3 ó 4 días?#...#El sueldo del marido."
118,"Hormigas al sol","Esto eran dos hormigas que tomaban el sol en unas tumbonas en medio de una obra, en eso que una le dice a la otra:#- Qué haces sacándote las bragas tía!!#- Es que acabo de escuchar que dentro de un rato viene el hormigón armado."
119,"El problema de las drogas","- ¿En tu colegio existe problema de drogas?#- Sí, no se encuentran fácil."
120,"Prematrimonial","Dos amigos de la infancia:#- Oye, ¿tu te acostaste con tu mujer antes de casarte?#- Yo no, ¿y tu?#- Hombre, yo no sabía que te ibas a casar con ella."
121,"Vasos de agua","- ¡Camarero, ya le he pedido cien veces un vaso de agua!#- Si, ahora mismo: ¡Cien vasos de agua para el señor!"
122,"Los hombres y las pizzas","¿En que se parecen los hombres a las pizzas? En que los llamas por teléfono y a los 15 minutos ya los tienes en la puerta de tu casa bien calentitos."
123,"Fidelidad máxima","- Hace 17 años que estoy casado, y todavía quiero a la misma mujer, ¿No es maravilloso?#- Si, pero ¡Procure que su esposa no se entere nunca!"
124,"Tenemos de todo","- Mamá, mamá... Si Dios nos da de comer, la cigüeña trae los niños de Paris y los Reyes magos los regalos el 6 de enero, ¿Se puede saber para que sirve papá?"
125,"Qué puedo hacer con mis pecados","En el confesionario:#- ¿Qué puedo hacer con mis pecados, señor cura?#- Ora.#- Las cuatro y cuarto, pero ¿Qué puedo hacer con mis pecados?"
126,"Hasta mañana","Hasta mañana si yo quiero (Dios)"
127,"La cocinera nueva","- Mi cocinera nueva es un sol.#- ¿Guisa bien?#- No, lo quema todo."
128,"La fiesta de 15 años","- Mamá, mamá... ¿Puedo ir a una fiesta de 15 años?#- No, hijo, es demasiado larga."
129,"Niño en la nevera","Esto es una madre que abre la nevera y se encuentra a su hijo y le dice:#- Hijo ¿que haces ahí?#- Es que papá me ha dicho que soy la leche!!"
130,"Puzzle complicado","Un tonto estuvo contento de terminar un puzzle en6 meses porqué en la caja ponía de 2 a 3 años."
131,"Barras de pan y...","Un hombre llega a una panadería y le dice al dependiente:#- Me da dos barras de pan, y si tiene huevos, dos docenas.#- Y éste le puso 24 barras de pan."
132,"Una fiesta aburrida","Dos amigas están en una fiesta y una le dice a la otra:#- Que aburrida está la fiesta ¿no?#- Pues si tía, yo cuando encuentre mis bragas me voy a casa."
133,"El telón y el gitano","Se abre el telón y aparece un gitano... Desaparece el telón."
134,"Gigantesca confusión","Había una vez una mujer tan gorda, pero tan gorda, que cuando estaba tomando sol en la playa llegó Green Peace y la devolvió al mar."
135,"Jugar con fuego","- ¡Niños, no juguéis con fuego!#...y Fuego se quedo sin amigos"
136,"Cero negativo","Tengo tipo de sangre cero negativo, ¿he nacido para ser pesimista?"
137,"Me persiguen las mujeres","- A mí antes me perseguían las mujeres.#- ¿Y por qué ya no?#- Es que ya no robo bolsos."
138,"De cara","- Acabo de estar con una modelo estupenda: ¡Qué piernas! ¡Qué pechos! ¡Qué trasero!#- ¿Y de cara?#- ¿De cara? ¡Joder, es carísima!"
139,"El pan está blando","- Mamá, mamá... Este pan está blando.#- Pues dile que se calle al condenado"
140,"Como se escribe","- ¿Cómo se escribe? ¿Durmiendo o dormiendo?#- Pos ninguna de las dos: se escribe despierto."
141,"Obra de Dios","- ¿Por qué hizo Dios antes al hombre que a la mujer?#- Porque antes de una obra de arte se hace siempre una chapucilla."
142,"No quiero una piscina","- Mamá, mamá... Que ya no quiero la piscina.#- Cállate y sigue escarbando."
143,"Canival en el avión","Un caníbal va en un avión, y le pregunta la azafata:#- ¿Le traigo el menú?#- No, mejor tráigame la lista de los pasajeros."
144,"En el restaurante","- ¿Y como quiere el señor sus huevos?#- Pues... con toda mi alma."
145,"Claro, te entiendo","-Mi novia me dejó, y para colmo, se fue con mi mejor amigo.#-Te entiendo perfectamente.#-¿Te pasó a ti lo mismo?#-No, pero hablo castellano."
146,"El oftalmólogo me llama","Tengo tres llamadas perdidas de mi oftalmólogo...#El de ver me llama."
147,"De alquiler","- Y vendes el piso?#- Alquilo.#- Y cuanto pesa?"
148,"Aceptas?","- La aceptas como esposa en la salud, en la enfermedad, en la riqueza#y en la pobreza hasta que la muerte os separe?#- Sí, no, si, no, no."
149,"Son cosas de niños","- ¡Oiga, su hijo le ha sacado la lengua al mío!#- Bueno, eso son cosas de críos.#- ¡Sí, pero es que no podemos cortar la hemorragia!"
150,"Tinta china","- Mamá, mamá... ¿Cuesta mucho dinero un bote de tinta china?#- No hijo mío, es barata, no te preocupes.#- ¡Que bien! Porqué se me derramó un bote de tinta sobre tu vestido nuevo."
151,"Estudia","Siempre que mis padres me decían “estudia!” yo entendía “es tu día!”, y salía de copas."
152,"En la escuela me llaman Rambo","- Mamá, mamá... En la escuela me llaman Rambo.#- No puede ser, pues voy a ir a hablar con la directora.#- No mamá... ¡Esta es MI guerra!"
153,"Mujer Objeto","Un amigo a otro:#- Mi mujer es un objeto sexual#- ¿A si? Y eso por qué#- Porque cada vez que me apetece hacer el amor, ella objeta algo."
154,"Sin duda","Era un hombre tan pequeño, tan pequeño, que no le cabía la menor duda."
155,"Dejé la droga","- Mamá, mamá... Dejé la droga.#- ¡Gracias a Dios!#- Sí... pero ahora no me acuerdo donde la puse."
156,"Jugar con el abuelo","- Mamá, mamá... ¿Puedo jugar con el abuelo?#- Bueno, pero después vuelve a enterrarlo ¿De acuerdo?"
157,"Velas","El Capitán de la Nave dijo:#- ¡Suban las velas!#...y los de abajo se quedaron a oscuras..."
158,"Cállate y sigue...","- Mamá, mamá... Que ya no quiero conocer a mi abuelito. Cállate y sigue escarbando.#- Mamá, mamá... Que ya no me gusta mi hermanito. Cállate y sigue comiendo."
159,"El rezo de una pecadora","Antes de tener relaciones, una joven reza:#- Virgen María, tú que concebiste sin pecar, haz que yo peque sin concebir."
160,"Niño mentirosillo","- Mamá, mamá... En la escuela me dicen mentiroso.#- Anda cállate, si hace un año que acabaste la escuela."
161,"Es de agradecidos","- Mamá, mamá... Cuando haces el amor con papá, ¿Le das las gracias?#- Pues no hija.#- Entonces, ¿Qué es educación sexual?"
162,"Sueño de amor","Una mujer celosa le pregunta a su marido:#- ¿Con cuántas mujeres has dormido?#Él responde:#- ¡Contigo nada más! Con las otras no me entra sueño."
163,"Amantes amigos","Un tipo llega a su casa y encuentra a su mujer haciendo el amor con su amigo.#Saca la escopeta y lo mata.#La mujer le dice:#- Muy bien. ¡Tu sigue así, que vas a quedarte sin amigos!"
164,"Me pongo muy nervioso y...","- Doctor, doctor, tiene que ayudarme! No se que me pasa que enseguida pierdo los nervios y me pongo a insultar a todo el mundo.#- Está bien. Cuéntame sobre el asunto.#- ¿Y qué cree que estoy haciendo, pedazo de imbécil?"
165,"Dos escarabajos","Dos escarabajos peloteros (madre e hijo) están comiendo caca y el niño le pregunta:#- Mamá, ¿a ti te gustan los langostinos?#La madre escarabajo le mete una torta y dice:#- Eso por hablar de porquerías mientras comemos."
166,"Caracol a alta velocidad","Un caracol ha sido atropellado por una tortuga. El caracol se despierta en un hospital de caracoles y su mujer le pregunta:#- Cariño ¿Pero qué ha ocurrido?#- No lo se, fue todo tan rápido..."
167,"Alcohólicos Anónimos","Un hombre borracho entra en un local de Alcohólicos Anónimos y el conserje le pregunta:#- Buenos días! ¿Viene usted a apuntarse?#- No, vengo a borrarme"
168,"A babor","En un crucero, un borracho le pregunta a un hombre:#- ¿Donde está el capitán?#- Por babor#- Por babor, ¿Donde está el capitán?"
169,"Por definición...","- Papá, papá... ¿cuál es la definición de engreído?#- Que bien que preguntaste, porque soy la mejor persona para responderte."
