"word";"N";"list_sugerence_first";"list_sugerence_all"
"alcohol";"6";"alcohol";"alcohol,alcohola,alcohole,alcoholo,alcoholó,alcoholá,alcoholé"
"alcohólicos";"2";"alcohÃ³licos";"alcohÃ³licos,alcoholices,alcoholismos"
"aldea";"1";"aldea";"aldea,ladea,aleda,alea,aldeas,caldea,baldea,faldea,haldea,alead,alcea,altea,albea"
"alégrate";"1";"alÃ©grate";"alÃ©grate"
"aleja";"1";"aleja";"aleja,alejá,alea,leja,alejar,alejan,alejas,alejad,almeja,jalea,aleje,alejo,aloja,alija,aneja"
"alejandro";"1";"alejando";"alejando,alejandrino"
"alemán";"3";"alemanda";"alemanda"
"alfa";"1";"alfa";"alfa,alfá,alga,ala,alfar,alifa,alfan,alfas,alfad,alfe,alea,arfa,alfo,alca,alta"
"alfonso";"1";"alonso";"alonso,alfonsino"
"algo";"14";"algo";"algo,lago,alfo,alago,alego,salgo,galgo,valgo,alga,aleo,asgo,alto,almo,albo,alzo"
"alguien";"5";"alguien";"alguien"
"algún";"2";"algÃºn";"algÃºn"
"alguna";"1";"alguna";"alguna,laguna,angula,aluna,algunas,alguno"
"algunas";"2";"algunas";"algunas,lagunas,angulas,alguna,alunas,algunos"
"aliento";"3";"aliento";"aliento,alieno,liento,alientos,caliento,alimento,abliento,alienta,aliente,asiento,amiento,aviento,a liento"
"alimentos";"1";"alimentos";"alimentos,alimento,alientos,alimentaos,alimentas,alimentes,alimentás"
"allá";"1";"alelá";"alelá,rallá,sallá,callá,tallá,dallá,aullá,mallá,pallá,gallá,fallá,vallá,hallá,zallá,aleá"
"allabalababa";"1";"acaballaba";"acaballaba,encaballaba,acabalaba,abancalaba"
"allí";"5";"allana";"allana"
"alltaaaaaaavooooooooozzzzzzz";"1";NA;NA
"alma";"2";"alma";"alma,lama,ala,ama,alama,aloma,almas,salma,calma,talma,palma,jalma,mala,alea,arma"
"almeja";"1";"almeja";"almeja,aleja,almejar,almejas,almaja,almena,al meja,al-meja"
"almirante";"2";"almirante";"almirante,almirantes,almiranta"
"almorzar";"1";"almorzar";"almorzar,almorzara,almorzare,almorzará,almorzaré,alcorzar,almorzad,alforzar"
"aló";"1";"al";"al,aleó,arló,alió,saló,caló,taló,baló,alfó,haló,alzó,jaló,ala,ale,aró"
"alpa";"1";"lapa";"lapa,ala,salpa,talpa,palpa,pala,alea,arpa,aspa,alca,alta,alma,alba,alga,alfa"
"alquilo";"1";"alquilo";"alquilo,alquiló,alquila,alquile,alquilá,alquilé,al quilo,al-quilo"
"alrededor";"1";"alrededor";"alrededor,al rededor,al-rededor"
"alta";"3";"alta";"alta,lata,ala,ata,altea,aleta,altar,alota,altas,salta,malta,balta,falta,Malta,tala"
"alto";"6";"alto";"alto,lato,ato,alteo,aleto,aloto,altos,salto,balto,falto,atol,talo,alta,aleo,acto"
"altooooo";"1";"altozano";"altozano"
"altura";"1";"altura";"altura,atura,alturas,altera,albura,al tura,al-tura"
"alud";"2";"alud";"alud,aluda,alude,aludo,salud,talud,almud,aludí,luda,azud"
"alumno";"1";"alumno";"alumno,aluno,alumnos,alumna"
"alzheimer";"3";"alzheimer";"alzheimer"
"am";"1";"a";"a,ama,ame,amo,ami,amó,amá,amé,ar,as,cm,al,ad,mm,ah"
"ama";"1";"ama";"ama,amá,amar,arma,rama,amia,aman,amas,asma,sama,cama,alma,lama,amad,dama"
"amablemente";"1";"amablemente";"amablemente,afablemente,amable mente,amable-mente"
"amante";"2";"amante";"amante,amanté,amanten,amantes,mamante,amanta,amanee,amarte,amanto,amonte,imante,amanse,amaste,avante,amantó"
"amantes";"2";"amantes";"amantes,amante,mamantes,amantas,amanees,amontes,imantes,amanten,amanses,amantás,aman tes,aman-tes"
"amargo";"1";"amargo";"amargo,amargó,amaro,amago,margo,amargor,amargos,amarga,amarro,amarlo,alargo,adargo,amargá,a margo"
"amarilla";"1";"amarilla";"amarilla,amarillea,amarillas,samarilla,camarilla,amartilla,amarillo,amorilla,amurilla"
"amarillo";"1";"amarillo";"amarillo,amarilleo,amarillos,amartillo,amarilla,amorillo,amurillo"
"amarraste";"1";"amarraste";"amarraste,amarrase,amaraste,marraste,amorraste,acarraste,aparraste,amargaste,agarraste,a marraste,amarras te,amarras-te"
"ambiente";"1";"ambiente";"ambiente,ambienté,ambienten,ambientes,ambienta,ambiento,ambientó,ambientá"
"ambos";"1";"ambos";"ambos,ambo,amos,amibos,mambos,zambos,yambos,ambas,amaos,ameos,albos"
"amiga";"6";"amiga";"amiga,amigá,amia,miga,amigar,amigan,amigas,amigad,miaga,amaga,amigo,amina,amida,amiba,amigó"
"amigas";"5";"amigas";"amigas,amigás,amigad,amiga,amias,migas,amigase,miagas,amagas,amigar,amigos,amigan,aminas,amidas,amibas"
"amígdalas";"1";"amÃ­gdalas";"amÃ­gdalas,amalladas"
"amigo";"22";"amigo";"amigo,amigó,migo,amigos,miago,amiga,amago,amino,amito,amibo,amigá,a migo"
"amigos";"24";"amigos";"amigos,amigo,amigas,amagos,amitos,amibos,amigás"
"amiguita";"1";"ami guita";"ami guita,ami-guita,agamita,guita,gamita"
"amnesia";"2";"amnesia";"amnesia,amnesias"
"amo";"4";"amo";"amo,amó,ano,ami,amor,armo,ramo,amos,tamo,almo,lamo,mamo,ambo,gamo,jamo"
"amor";"16";"amor";"amor,maro,amo,mor,mora,armo,ramo,amar,amos,azor,a mor"
"amorcito";"1";"amor cito";"amor cito,amor-cito,mayorcito"
"amortiguador";"1";"amortiguador";"amortiguador,amortiguado,amortiguadora,amortiguados"
"análisis";"1";"anÃ¡lisis";"anÃ¡lisis"
"ancho";"1";"ancho";"ancho,anchó,nacho,anchoa,anchoe,rancho,anchoo,anchos,sancho,lancho,mancho,pancho,gancho,anchoó,anchoá"
"anchoas";"1";"anchoas";"anchoas,anchoás,anchoad,anchoa,anchos,anchas,anchoase,anchovas,anchoes,anchoar,anchoan,ancho as,ancho-as"
"anda";"4";"anda";"anda,nada,ansa,andar,randa,anida,andan,andas,canda,tanda,landa,andad,anuda,manda,panda"
"andabas";"1";"andabas";"andabas,nadabas,andanas,andaba,andabais,anidabas,candabas,anudabas,mandabas,pandabas,aneabas,andaban,aldabas,andadas"
"andando";"1";"andando";"andando,nadando,andado,anidando,candando,anudando,mandando,pandando,aneando,andan do,andan-do"
"ángel";"2";"congele";"congele"
"angelito";"2";"angelito";"angelito,angelitos,angelino,angelizo"
"ángulos";"1";"angulosos";"angulosos,gulosos"
"angustiada";"1";"angustiada";"angustiada,angustiad,angustiadas,angustiara,angustiado,angustiaba,angustia da,angustia-da,angustiad a"
"angustiado";"1";"angustiado";"angustiado,angustiad,angustiador,angustiando,angustiados,angustiada,angustia do,angustia-do,angustiad o"
"anillos";"1";"anillos";"anillos,anillo,asnillos,anillas,anilles,arillos,anillás"
"animal";"5";"animal";"animal,anima,animar,animan,animas,animad"
"animales";"1";"animales";"animales,animarles,animadles,animares,animases,anima les,anima-les,animal es,animal-es"
"animalitos";"1";"animalarios";"animalarios,anonimatos,italianismos,alimentos"
"aniversario";"1";"aniversario";"aniversario,aniversarios"
"aniversarios";"1";"aniversarios";"aniversarios,aniversario"
"annie";"1";"anidie";"anidie,sanie,niegan"
"ano";"1";"ano";"ano,nao,amo,no,aneo,rano,anos,asno,sano,cano,ando,anuo,mano,pano,gano"
"anoche";"4";"anoche";"anoche,amoche,anche,noche,anchoe,acoche,atoche,a noche,ano che,ano-che"
"anónimos";"2";"animosos";"animosos,animoso,animamos,animismos"
"ante";"1";"ante";"ante,ate,anote,nante,antes,cante,dante,gante,aten,anta,anee,ente,arte,anti,ande"
"antes";"15";"antes";"antes,ante,ates,anotes,nantes,cantes,dantes,gantes,antas,anees,entes,artes,andes,untes"
"anti";"1";"anti";"anti,antia,anta,ante"
"anticaida";"1";"anticuada";"anticuada,anticipada,infanticida,cantidad"
"anticipación";"2";"anticipación";"anticipación"
"antonio";"3";"antonino";"antonino,antoniano,antonimia,antoniniano,antimonio"
"anuncia";"1";"anuncia";"anuncia,anunciá,anuencia,anunciar,anuncian,anuncias,anunciad,anuncie,enuncia,anuncio,anunció,anuncié"
"año";"5";"aro";"aro,ano,aso,ato,amo,azo,ajo,ayo"
"años";"22";"aros";"aros,anos,amos,azos,ajos,ayos"
"apá";"1";"apeá";"apeá,arpá,rapá,aspá,capá,tapá,aupá,papá,zapá,ará,asá,atá,upá,amá,ajá"
"apaga";"1";"apaga";"apaga,apagá,paga,apagar,apagan,apagas,apagad,apega,apara,apago,alaga,amaga,azaga,apagó,a paga"
"apagó";"1";"apago";"apago,apagó,pagó,apaga,apegó,aparó,alagó,amagó,azagó,apagá,a pagó"
"aparato";"1";"aparato";"aparato,aparató,aparto,aparatos,aparata,aparate,aparado,abarato,aparatá,aparaté,apara to,apara-to"
"aparatos";"1";"aparatos";"aparatos,aparato,aparatosa,aparatoso,aparatas,aparates,aparados,aparamos,aparatás,apara tos,apara-tos"
"aparcamientos";"2";"aparcamientos";"aparcamientos,aparcamiento,apareamientos,apartamientos,abarcamientos"
"aparece";"15";"aparece";"aparece,aparecé,aparee,parece,aparecer,aparecen,apareces,apareced,amarece,aparecí,apareje,a parece,apare ce,apare-ce"
"aparecen";"2";"aparecen";"aparecen,aparece,apareen,parecen,aparecer,apareces,apareced,amarecen,aparejen,a parecen"
"apareció";"1";"apareció";"apareció,apreció,pareció,amareció,a pareció,apare ció,apare-ció"
"aparejador";"1";"aparejador";"aparejador,aparejado,aparejadora,aparejados"
"apartado";"1";"apartado";"apartado,aparrado,apartad,aparado,aparatado,apartador,apartando,apartados,apartada,apareado,aportado,apartido,apastado,aparcado,aparvado"
"apartan";"1";"apartan";"apartan,aparran,aparta,aparan,partan,aparatan,taparan,aparten,aparean,apartar,aportan,apartas,apastan,aparcan,apartad"
"apárteme";"1";"aposteme";"aposteme"
"apellidos";"1";"apellidos";"apellidos,apellido,apellidas,apellados,apellides,apellidás"
"apetece";"4";"apetece";"apetece,apetecé,apetecer,apetecen,apeteces,apeteced,apetecí"
"aplastaste";"1";"aplastaste";"aplastaste,aplastase,apastaste,aplastante,aplastas te,aplastas-te"
"aplauso";"1";"aplauso";"aplauso,aplaudo,plauso,aplausos,a plauso"
"apoyo";"1";"apoyo";"apoyo,apoyó,poyo,apoyos,apoya,apoye,aposo,apoco,apodo,aboyo,ahoyo,apoyá,apoyé,a poyo"
"aprender";"1";"aprender";"aprender,aprende,prender,aprenderá,aprenderé,aprenden,aprendes,aprended,a prender"
"aprenderéis";"1";"aprenderéis";"aprenderéis,prenderéis,a prenderéis,aprenderé is,aprenderé-is"
"aprendersecuatro";"1";"aprenderse cuatro";"aprenderse cuatro,aprenderse-cuatro,cuatrocentista"
"aprendido";"2";"aprendido";"aprendido,prendido,aprendidos,aprendida,a prendido"
"aprendió";"3";"aprendió";"aprendió,prendió,aprendiz,a prendió"
"apresurada";"1";"apresurada";"apresurada,apresurad,apresuradas,apresurara,apresurado,apresuraba,apresura da,apresura-da,apresurad a"
"apreti";"1";"apretó";"apretó,apretá,apreté,apretare,apretar,pretina"
"aprieta";"1";"aprieta";"aprieta,prieta,aprietan,aprietas,apriete,aprieto,apriesa,agrieta,a prieta"
"apriete";"5";"apriete";"apriete,ariete,aprieten,aprietes,aprieta,aprieto,agriete"
"aprobaba";"1";"aprobaba";"aprobaba,aproaba,probaba,aprobaban,aprobabas,aprobara,arrobaba,aprobada,a probaba"
"aprobado";"1";"aprobado";"aprobado,aprobad,aproado,probado,aprobador,aprobando,aprobados,aprobada,arrobado,a probado,aprobad o"
"aprovecha";"1";"aprovecha";"aprovecha,aprovechá,provecha,aprovechar,aprovechan,aprovechas,aprovechad,aproveche,aprovecho,aprovechó,aproveché,a provecha"
"apruebas";"1";"apruebas";"apruebas,aprueba,pruebas,apruebes,aprueban,a pruebas"
"apuestas";"1";"apuestas";"apuestas,apuesta,apestas,puestas,apuestes,aprestas,apuestos,opuestas,apuestan,acuestas,aquestas,a puestas"
"apuntarse";"1";"apuntarse";"apuntarse,apuntares,apuntare,apuntase,puntarse,asuntarse,apuntarte,apuntarle,apuntarme,ajuntarse,a puntarse,apuntar se,apuntar-se"
"apunto";"1";"apunto";"apunto,apuntó,punto,apunta,apunte,asunto,ajunto,apuntá,apunté,a punto"
"apurada";"1";"apurada";"apurada,apurad,apuradas,aparada,aperada,apurara,apurado,asurada,aturada,amurada,apuraba,aburada,apura da,apura-da,apurad a"
"apúrate";"1";"aparate";"aparate"
"aquella";"1";"aquella";"aquella,aquellar,aquellas,aquello,afuella,aquel la,aquel-la"
"aqui";"2";"qui";"qui,caqui,maqui,quia,a qui"
"aquí";"18";"aquÃ­";"aquÃ­"
"arabe";"1";"eraba";"eraba,atabe,arable,jarabe,rabea,araba,arare,arabo,arase,acabe,trabe,alabe,grabe,ara be,ara-be"
"árabe";"2";"rabeá";"rabeá,trabe,grabe,rabera"
"araña";"2";"arara";"arara,arana,arada,araba,arar"
"arbitro";"1";"arbitro";"arbitro,arbitró,arbitrio,arbitra,arbitre,arbitrá,arbitré"
"árbol";"6";"arbolo";"arbolo"
"arbustos";"1";"arbustos";"arbustos,arbusto,ar bustos,ar-bustos"
"arco";"2";"arco";"arco,arcó,orca,aro,arico,arcos,marco,parco,barco,zarco,caro,arca,arce,orco,ario"
"arg";"1";"ar";"ar,ara,are,erg,aro,aró,ará,aré"
"argentina";"1";"argentina";"argentina,Argentina,argentinas,argentino"
